id,name,poster_image_file,view,emotion,poster_pose_title,poster_pose_summary,notes,poster_prompt_file,video_prompt_file
12,rolling_laugh,12_rolling_laugh_pose.png,side,laughing too hard,rolling laugh pose,"Side view of the duck tilted strongly sideways as if laughing so hard it is about to roll, feet loose, wings lifted a bit.",Pose should suggest loss of balance from laughter.,prompts/poster_pose_prompts/12_rolling_laugh_pose.txt,prompts/video_prompts/12_rolling_laugh_video_full.txt
13,tears_of_laughter,13_tears_of_laughter_pose.png,front,laughing with tears,tears of laughter pose,"Front-facing duck laughing loudly with tears at the eyes, wings slightly out, body lifted with laughter.",Tears are okay but eye design should remain simple.,prompts/poster_pose_prompts/13_tears_of_laughter_pose.txt,prompts/video_prompts/13_tears_of_laughter_video_full.txt
14,giggle_cover_mouth,14_giggle_cover_mouth_pose.png,three-quarter front,shy amused,giggle with one wing covering beak,"Three-quarter front pose with one wing lightly covering the beak while the duck giggles, eyes happily curved.",Cute restrained laugh.,prompts/poster_pose_prompts/14_giggle_cover_mouth_pose.txt,prompts/video_prompts/14_giggle_cover_mouth_video_full.txt
15,big_clap,15_big_clap_pose.png,front,happy,clap pose,"Front-facing duck with both wings brought together clearly in front of the chest in a clap pose, bright smile.",Static image should unmistakably read as clapping.,prompts/poster_pose_prompts/15_big_clap_pose.txt,prompts/video_prompts/15_big_clap_video_full.txt
16,self_hug,16_self_hug_pose.png,front,comforting affectionate,self-hug pose,"Front-facing duck wrapping both wings around its own body in a self-hug, content expression.",Should read as hugging itself.,prompts/poster_pose_prompts/16_self_hug_pose.txt,prompts/video_prompts/16_self_hug_video_full.txt
17,pull_to_chest,17_pull_to_chest_pose.png,three-quarter front,warm hopeful,pull to chest pose,"Three-quarter front pose, wings extended forward as if receiving something and pulling it back toward the chest, gentle happy face.",Should read as drawing something cherished close.,prompts/poster_pose_prompts/17_pull_to_chest_pose.txt,prompts/video_prompts/17_pull_to_chest_video_full.txt
18,come_for_hug,18_come_for_hug_pose.png,front,warm welcoming,come for hug pose,"Front-facing duck opening both wings very wide toward the viewer, stepping forward slightly with a big welcoming smile.",Static pose should feel like “come here for a hug”.,prompts/poster_pose_prompts/18_come_for_hug_pose.txt,prompts/video_prompts/18_come_for_hug_video_full.txt
19,squish_cheeks,19_squish_cheeks_pose.png,front,playfully cute,squish cheeks pose,"Front-facing duck pressing both cheeks with its wings, cute smile.",Should read as cheek squish instantly.,prompts/poster_pose_prompts/19_squish_cheeks_pose.txt,prompts/video_prompts/19_squish_cheeks_video_full.txt
20,spin_and_pose,20_spin_and_pose_pose.png,three-quarter front,showy confident,spin-and-pose finish,"Three-quarter front finishing pose after a spin, body slightly twisted, one foot pointed, one wing out, self-satisfied smile.",Poster pose should feel like ta-da after spinning.,prompts/poster_pose_prompts/20_spin_and_pose_pose.txt,prompts/video_prompts/20_spin_and_pose_video_full.txt
21,frozen_shock,21_frozen_shock_pose.png,front,shocked frozen,freeze in shock pose,"Front-facing duck stiff with surprise, wings slightly away from body, eyes wide, beak small and tense.",Should read as frozen in shock.,prompts/poster_pose_prompts/21_frozen_shock_pose.txt,prompts/video_prompts/21_frozen_shock_video_full.txt
22,step_back_in_shock,22_step_back_in_shock_pose.png,three-quarter front,shocked anxious,step back in shock pose,"Three-quarter front pose with one foot stepping backward, body leaning away, eyes widened, wings slightly raised.",Static image should show recoil.,prompts/poster_pose_prompts/22_step_back_in_shock_pose.txt,prompts/video_prompts/22_step_back_in_shock_video_full.txt
23,astonished_wings_open,23_astonished_wings_open_pose.png,front,astonished,wings open surprise pose,Front-facing duck with both wings suddenly spread wide and beak open in surprise.,Classic big surprise silhouette.,prompts/poster_pose_prompts/23_astonished_wings_open_pose.txt,prompts/video_prompts/23_astonished_wings_open_video_full.txt
24,look_left_right,24_look_left_right_pose.png,front,alert startled,looking side pose,"Front-facing duck with the head turned sharply to one side, body still front-facing, slightly tense posture.",Readable as looking left/right quickly.,prompts/poster_pose_prompts/24_look_left_right_pose.txt,prompts/video_prompts/24_look_left_right_video_full.txt
25,anxious_turning,25_anxious_turning_pose.png,three-quarter front,nervous flustered,anxious turning pose,"Three-quarter view duck twisted as if indecisively turning, feet not aligned, wings slightly up, worried face.",Should show hesitating and changing direction.,prompts/poster_pose_prompts/25_anxious_turning_pose.txt,prompts/video_prompts/25_anxious_turning_video_full.txt
26,panic_hold_head,26_panic_hold_head_pose.png,front,panicked,hold head pose,"Front-facing duck holding the sides of its head with both wings, eyes wide, distressed expression.",Static pose should clearly say panic.,prompts/poster_pose_prompts/26_panic_hold_head_pose.txt,prompts/video_prompts/26_panic_hold_head_video_full.txt
27,dizzy_stagger,27_dizzy_stagger_pose.png,three-quarter front,dizzy,stagger pose,"Three-quarter front duck leaning heavily off-center with wobbling stance, eyes confused, wings slightly spread for balance.",Should read as dizzy staggering.,prompts/poster_pose_prompts/27_dizzy_stagger_pose.txt,prompts/video_prompts/27_dizzy_stagger_video_full.txt
28,fall_on_bottom,28_fall_on_bottom_pose.png,front,startled helpless,fall on bottom pose,"Front-facing duck already falling backward onto its bottom, both feet lifted forward slightly, surprised face.",Pose should show the instant of plopping down.,prompts/poster_pose_prompts/28_fall_on_bottom_pose.txt,prompts/video_prompts/28_fall_on_bottom_video_full.txt
29,run_away,29_run_away_pose.png,side,afraid urgent,run away pose,"Side view duck sprinting away fast while glancing backward over its shoulder, fearful expression.",Clear fleeing silhouette.,prompts/poster_pose_prompts/29_run_away_pose.txt,prompts/video_prompts/29_run_away_video_full.txt
30,hard_brake,30_hard_brake_pose.png,side,alarmed,hard brake pose,"Side view duck leaning sharply backward with feet braced forward as if braking hard, wings slightly out for balance.",Readable as sudden stop.,prompts/poster_pose_prompts/30_hard_brake_pose.txt,prompts/video_prompts/30_hard_brake_video_full.txt
31,cry_loudly,31_cry_loudly_pose.png,front,crying loudly,big cry pose,"Front-facing duck crying loudly, mouth wide open, large tears streaming, wings raised a little in distress.",Strong readable cry pose.,prompts/poster_pose_prompts/31_cry_loudly_pose.txt,prompts/video_prompts/31_cry_loudly_video_full.txt
32,sit_and_sob,32_sit_and_sob_pose.png,three-quarter front,sad crying,sit and sob pose,"Three-quarter front duck sitting on the ground, body hunched, tears falling, wings close to body.",Should read as seated sobbing.,prompts/poster_pose_prompts/32_sit_and_sob_pose.txt,prompts/video_prompts/32_sit_and_sob_video_full.txt
33,collapse_flat,33_collapse_flat_pose.png,side,exhausted sad,collapse flat pose,"Side view duck slumping downward onto the ground, body flattened with no energy, eyes dull or closed.",Readable as total collapse.,prompts/poster_pose_prompts/33_collapse_flat_pose.txt,prompts/video_prompts/33_collapse_flat_video_full.txt
34,sad_walk,34_sad_walk_pose.png,side,sad gloomy,sad walk pose,Side view duck taking a slow step with head hanging low and droopy posture.,Static image should feel like trudging sadly.,prompts/poster_pose_prompts/34_sad_walk_pose.txt,prompts/video_prompts/34_sad_walk_video_full.txt
35,turn_away_and_sulk,35_turn_away_and_sulk_pose.png,back,sulky,turn away and sulk pose,"Back view duck turned away from the viewer with slightly hunched shoulders and head lowered, body leaning to one side in a sulky mood.",This is the desired dedicated poster pose for sulking from behind.,prompts/poster_pose_prompts/35_turn_away_and_sulk_pose.txt,prompts/video_prompts/35_turn_away_and_sulk_video_full.txt
36,wipe_tears,36_wipe_tears_pose.png,front,sad but trying to recover,wipe tears pose,"Front-facing duck wiping one eye strongly with one wing, tears still present, face scrunched.",Should read as actively wiping tears.,prompts/poster_pose_prompts/36_wipe_tears_pose.txt,prompts/video_prompts/36_wipe_tears_video_full.txt
37,slow_collapse,37_slow_collapse_pose.png,front,dejected drained,slow collapse pose,"Front-facing duck with knees bent and body sinking, head low, wings drooping completely.",Poster pose should show losing strength.,prompts/poster_pose_prompts/37_slow_collapse_pose.txt,prompts/video_prompts/37_slow_collapse_video_full.txt
38,big_yawn_and_stretch,38_big_yawn_and_stretch_pose.png,three-quarter front,sleepy,big yawn and stretch pose,Three-quarter front duck yawning hugely with beak open and both wings stretched upward.,Very readable yawn/stretch.,prompts/poster_pose_prompts/38_big_yawn_and_stretch_pose.txt,prompts/video_prompts/38_big_yawn_and_stretch_video_full.txt
39,dozing_off_standing,39_dozing_off_standing_pose.png,front,sleepy,dozing while standing pose,"Front-facing duck standing but nodding off, eyes closed, head tilted forward, body still upright but droopy.",Should read as almost asleep while standing.,prompts/poster_pose_prompts/39_dozing_off_standing_pose.txt,prompts/video_prompts/39_dozing_off_standing_video_full.txt
40,lie_down_sleep,40_lie_down_sleep_pose.png,side,sleepy,lie down sleep pose,"Side view duck curled down low on the ground ready to sleep, eyes closed, peaceful expression.",Poster pose should show lying down to sleep.,prompts/poster_pose_prompts/40_lie_down_sleep_pose.txt,prompts/video_prompts/40_lie_down_sleep_video_full.txt
41,stomp_one_foot,41_stomp_one_foot_pose.png,front,angry,stomp pose,"Front-facing duck lifting one foot high for a strong angry stomp, angry eyebrows, wings tense.",Big readable anger.,prompts/poster_pose_prompts/41_stomp_one_foot_pose.txt,prompts/video_prompts/41_stomp_one_foot_video_full.txt
42,spread_wings_threat,42_spread_wings_threat_pose.png,front,angry threatening,spread wings threat pose,"Front-facing duck spreading both wings wide in an intimidating threat display, angry face.",Static pose should feel confrontational.,prompts/poster_pose_prompts/42_spread_wings_threat_pose.txt,prompts/video_prompts/42_spread_wings_threat_video_full.txt
43,trembling_anger,43_trembling_anger_pose.png,front,restrained anger,trembling anger pose,"Front-facing duck trembling with contained rage, fists/wing tips clenched inward, angry expression.",Body should look tense and vibrating.,prompts/poster_pose_prompts/43_trembling_anger_pose.txt,prompts/video_prompts/43_trembling_anger_video_full.txt
44,thrust_beak_forward,44_thrust_beak_forward_pose.png,three-quarter front,angry confrontational,beak thrust pose,"Three-quarter front duck lunging the beak forward aggressively, chest and head jutting out.",Should read as arguing or confronting.,prompts/poster_pose_prompts/44_thrust_beak_forward_pose.txt,prompts/video_prompts/44_thrust_beak_forward_video_full.txt
45,angry_protest,45_angry_protest_pose.png,front,protesting angry,angry protest pose,"Front-facing duck thrusting one wing outward in complaint, mouth open as if protesting.",Readable as objecting strongly.,prompts/poster_pose_prompts/45_angry_protest_pose.txt,prompts/video_prompts/45_angry_protest_video_full.txt
46,turn_head_hmph,46_turn_head_hmph_pose.png,front,annoyed huffy,hmph pose,"Front-facing torso with head sharply turned away to the side, eyes narrowed, beak pouty.",Classic hmph / offended look.,prompts/poster_pose_prompts/46_turn_head_hmph_pose.txt,prompts/video_prompts/46_turn_head_hmph_video_full.txt
47,turn_back_completely,47_turn_back_completely_pose.png,back,annoyed turning away,turned back pose,"Back view duck fully turned away from the viewer, one foot planted firmly as if after an angry turn.",Readable as turning its back on someone.,prompts/poster_pose_prompts/47_turn_back_completely_pose.txt,prompts/video_prompts/47_turn_back_completely_video_full.txt
48,shake_head_no,48_shake_head_no_pose.png,front,firm refusal,shake head no pose,"Front-facing duck with head swung to one side and beak closed in refusal, body tense.",Static pose should read as “no”.,prompts/poster_pose_prompts/48_shake_head_no_pose.txt,prompts/video_prompts/48_shake_head_no_video_full.txt
49,march_away_angry,49_march_away_angry_pose.png,back,angry,march away pose,Three-quarter rear or back view duck marching away angrily with one foot high and body tense.,Strong readable angry departure.,prompts/poster_pose_prompts/49_march_away_angry_pose.txt,prompts/video_prompts/49_march_away_angry_video_full.txt
50,hands_on_hips_pose,50_hands_on_hips_pose_pose.png,front,proud defiant,hands on hips pose,"Front-facing duck with both wings planted at its sides like hands on hips, beak slightly raised.",Clear defiant posture.,prompts/poster_pose_prompts/50_hands_on_hips_pose_pose.txt,prompts/video_prompts/50_hands_on_hips_pose_video_full.txt
51,deep_bow,51_deep_bow_pose.png,front,polite calm,bow pose,"Front-facing duck already in a polite bow with eyes closed, both wings resting naturally at the sides.","Important: face front; readable as bowing, not sleeping.",prompts/poster_pose_prompts/51_deep_bow_pose.txt,prompts/video_prompts/51_deep_bow_video_full.txt
52,strong_nod,52_strong_nod_pose.png,front,agreeing energetic,strong nod pose,"Front-facing duck with head dipped strongly downward in the deepest point of a forceful nod, determined face.",Should read as strong nodding.,prompts/poster_pose_prompts/52_strong_nod_pose.txt,prompts/video_prompts/52_strong_nod_video_full.txt
53,tilt_head_curious,53_tilt_head_curious_pose.png,front,curious,tilt head pose,"Front-facing duck with head and upper body dramatically tilted to one side, curious expression.",Simple cute curiosity pose.,prompts/poster_pose_prompts/53_tilt_head_curious_pose.txt,prompts/video_prompts/53_tilt_head_curious_video_full.txt
54,sneak_walk,54_sneak_walk_pose.png,side,sneaky,sneak walk pose,"Side view duck tiptoeing with one foot raised high and body lowered slightly, alert sneaky face.",Should read as sneaking.,prompts/poster_pose_prompts/54_sneak_walk_pose.txt,prompts/video_prompts/54_sneak_walk_video_full.txt
55,peek_over_shoulder,55_peek_over_shoulder_pose.png,back,curious cautious,peek over shoulder pose,Back view duck looking back over one shoulder toward the viewer.,Back-facing but readable character face.,prompts/poster_pose_prompts/55_peek_over_shoulder_pose.txt,prompts/video_prompts/55_peek_over_shoulder_video_full.txt
56,point_with_wing,56_point_with_wing_pose.png,three-quarter front,noticing,point with wing pose,Three-quarter front duck pointing clearly to one side with one wing while looking that way.,Should read as indicating something.,prompts/poster_pose_prompts/56_point_with_wing_pose.txt,prompts/video_prompts/56_point_with_wing_video_full.txt
57,slip_and_fall,57_slip_and_fall_pose.png,side,panicked off-balance,slip pose,"Side view duck in the instant of slipping: one foot shooting forward, body leaning back, both wings spread wide, alarmed expression.",Strong readable slipping moment; not just walking.,prompts/poster_pose_prompts/57_slip_and_fall_pose.txt,prompts/video_prompts/57_slip_and_fall_video_full.txt
58,chase_tail,58_chase_tail_pose.png,three-quarter front,playful curious,chase tail pose,"The duck twists around trying to look at its own tail, body curved in a playful chasing motion.",Static pose should imply circling after its tail.,prompts/poster_pose_prompts/58_chase_tail_pose.txt,prompts/video_prompts/58_chase_tail_video_full.txt
59,shake_dry,59_shake_dry_pose.png,front,refreshing vigorous,shake dry pose,"Front-facing duck in a vigorous body shake, feathers puffed a bit, wings lifted slightly, face squeezed shut or focused.",Static image should imply vigorous shaking dry.,prompts/poster_pose_prompts/59_shake_dry_pose.txt,prompts/video_prompts/59_shake_dry_video_full.txt
60,sprint_across_frame,60_sprint_across_frame_pose.png,side,fast energetic,full sprint pose,"Side view duck in a strong full sprint pose with body leaning clearly forward, front leg reaching far ahead, back leg stretched far behind, both wings streaming backward.",Important: this must read as FAST RUNNING even as a still image.,prompts/poster_pose_prompts/60_sprint_across_frame_pose.txt,prompts/video_prompts/60_sprint_across_frame_video_full.txt
